Word,count
I,7741
"",3271
my,2731
.,2380
/,2338
@,2305
so,1976
you,1943
game,1547
The,1358
just,1352
me,1343
all,1323
love,1278
like,1174
really,1107
I'm,1072
good,1067
i,961
-,925
